,Student_Number,AI_Condition,Group,Outcome,Score,Task,avg_z
284,f3ca044a6fc18861,Vincent,C,Organization,3.0,P1,
285,ad4e0a23d55a9bc2,Vincent,C,Organization,6.0,P1,-0.24015771477157025
286,9109b13b11fd7782,No AI,A,Organization,5.0,P1,0.18312848998118322
287,6a370e860ed24357,Vincent,C,Organization,6.0,P1,0.9611918325098401
288,5c031f15ede898cb,Vincent,C,Organization,5.0,P1,
289,13b6a1020ad46272,GPT 01,B,Organization,3.0,P1,-1.9769230803276874
290,7c4f2cdf9a7ba025,GPT 01,B,Organization,6.0,P1,-1.7038091711750942
291,c55ed9175b0738c2,GPT 01,B,Organization,6.0,P1,1.538462810665638
292,e0586dd6ba414274,No AI,A,Organization,4.0,P1,0.06348153638714865
293,7e107a9c0ebdc482,Vincent,C,Organization,7.0,P1,1.6398330063019337
294,2bfdab79d93e7bce,GPT 01,B,Organization,3.0,P1,-0.7960626767343792
295,f4534ca99db52354,GPT 01,B,Organization,2.0,P1,
296,889b30f2a988ff0a,GPT 01,B,Organization,6.0,P1,0.02064584798880434
297,efbfc0f029c0ac5f,Vincent,C,Organization,5.0,P1,-0.11304066434506099
298,1532b47abfa256d4,GPT 01,B,Organization,4.0,P1,-0.7069996090677951
299,824bb66524753233,Vincent,C,Organization,7.0,P1,-1.4198115980683528
300,f89651d646f1ab95,No AI,A,Organization,4.0,P1,0.5210959531494033
301,02a6298460b477ce,GPT 01,B,Organization,4.0,P1,0.47254419315821483
302,3b79cd5d4dc9545c,Vincent,C,Organization,4.0,P1,-0.26558112485687213
303,81703482b559611e,GPT 01,B,Organization,4.0,P1,0.017354344570559593
304,8b3794f02b5e4db5,Vincent,C,Organization,4.0,P1,-0.3272757770197897
305,79d436c6314eda33,No AI,A,Organization,4.0,P1,-0.35095943751371733
306,9be12b158467797d,Vincent,C,Organization,4.0,P1,-0.16761523061633873
307,820ef4cb24626154,GPT 01,B,Organization,6.0,P1,0.5635821628757459
308,b342e13cf1dcabea,Vincent,C,Organization,4.0,P1,-0.4181215853686832
309,bfd51df7115d0bee,GPT 01,B,Organization,5.0,P1,0.4758356965764596
310,8fd8eb1d02d74b73,No AI,A,Organization,3.0,P1,0.16215509236729947
311,60f4a10cf0e76952,No AI,A,Organization,4.0,P1,0.8923634841888806
312,f7b9fdfc04c988ab,No AI,A,Organization,3.0,P1,-0.8529739447709817
313,446f96dc3003002c,No AI,A,Organization,6.0,P1,0.8479633936938707
314,d2aff30970fe0d4c,Vincent,C,Organization,6.0,P1,-0.38557808939174154
315,7f1b0f735e644984,GPT 01,B,Organization,3.0,P1,1.0174554100961033
316,742df284c8614f30,Vincent,C,Organization,3.0,P1,-1.1404894934397407
317,9ee9f3b5b5934e01,GPT 01,B,Organization,2.0,P1,-1.2512525253220346
318,af90ee0cf16ffd33,Vincent,C,Organization,7.0,P1,-0.3018523669344879
319,ce5032424903d61d,GPT 01,B,Organization,4.0,P1,-0.43586060196614884
320,1d27419a27bc132a,GPT 01,B,Organization,6.0,P1,-0.25180976048013987
321,68c3cbbda9ab9909,GPT 01,B,Organization,4.0,P1,-0.250493159112842
322,475d59d3b81d4bac,No AI,A,Organization,2.0,P1,-0.524879856592893
323,ef03ab8ccbaa668b,Vincent,C,Organization,2.0,P1,
324,dd5b4506ccb8edff,GPT 01,B,Organization,2.0,P1,0.29244315577409963
325,2cd520fd07667404,GPT 01,B,Organization,4.0,P1,0.8334045686100943
326,e5515ac0c0f126c6,No AI,A,Organization,1.0,P1,-0.2300858362860616
327,7eb33ecb29043786,GPT 01,B,Organization,4.0,P1,0.7436832002598611
328,7d228f6d656337bb,GPT 01,B,Organization,3.0,P1,0.3828228248079817
329,cdb181d570ee13d8,No AI,A,Organization,2.0,P1,0.24972862572369792
330,1a20cabcd1a8d41b,Vincent,C,Organization,6.0,P1,
331,e58dc153e9c0e8e4,Vincent,C,Organization,5.0,P1,-0.7520182562685731
